ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
Achagua,Achagua,,4.38649,-72.2005,acha1250,,Achagua
Amuesha,Amuesha,,-10.5454,-75.315,yane1238,,Yanesha'
Anauya,Anauya,,1.480584,-65.413237,anau1243,,Anauyá
Apurina,Apurina,,-8.21692,-66.7714,apur1254,,Apurinã
Arua,Arua,,-0.608631,-50.123291,arua1264,,Aruan
Asheninka,Asheninka,,-11.9311,-73.9073,asha1243,,Asháninka
Bahuana,Bahuana,,0.83868,-63.452927,xiri1243,,Xiriâna
Baniva,Baniva,,5.26123,-67.5633,bani1254,,Avane
Baniwa,Baniwa,,,,bani1259,,Baniwa-Curripaco
Bare,Bare,,1.91649,-66.828,bare1276,,Baré
Baure,Baure,,-13.61,-63.68,baur1253,,Baure
Cabiai,Cabiai,,-1.072848,-62.887131,cari1280,,Cariay
Cabiyari,Cabiyari,,0.16101,-71.0622,cabi1241,,Cabiyarí
Caquinte,Caquinte,,-11.4812,-73.4451,caqu1242,,Caquinte
Chamicuro,Chamicuro,,-5.1149,-75.6778,cham1318,,Chamicuro
EnaweneMawe,EnaweneMawe,,-12.4302,-58.9802,enaw1238,,Enawené-Nawé
Garifuna,Garifuna,,15.3529,-86.9091,gari1256,,Garifuna
Guajiro,Guajiro,,11.395566,-72.199791,wayu1243,,Wayuu
Guarekena,Guarekena,,2.904099,-67.092099,ware1255,,Warekena do San Miguel
Guinau,Guinau,,4.797607,-64.73877,guin1258,,Guinau
Ignaciano,Ignaciano,,-15.1188,-65.3993,igna1246,,Ignaciano
Inapari,Inapari,,-12.4653,-69.3083,inap1243,,Modern Iñapari
IslandCarib,IslandCarib,,15.364795,-61.342957,isla1278,,Island Carib
Karutana,Karutana,,2.17859,-67.7704,bani1255,,Baniwa do Icana
Kauixana,Kauixana,,-2.171598,-67.319199,kais1242,,Kaishana
Kinikinau,Kinikinau,,-19.1667,-54.0333,guan1270,,Kinikinao
Kurripako,Kurripako,,,,korr1239,,Korripako
Lokono,Lokono,,5.64295,-56.9243,araw1276,,Lokono
Maipure,Maipure,,4.8,-67.5,maip1246,,Maipure
Manao,Manao,,-0.540066,-64.5186,mana1299,,Manao
Mandawaka,Mandawaka,,1.48,-66.52,mand1448,,Mandahuaca
Manxineri,Manxineri,,-10.661655,-70.208108,mach1268,,Machinere
Marawa,Marawa,,-3.0,-67.512818,mara1409,,Maragua
Marawan,Marawan,,3.9,-51.8,mara1408,,Marawan
Mariate,Mariate,,-1.676121,-71.149307,uain1239,,Uainuma-Mariate
Matchiguenga,Matchiguenga,,-12.1291,-72.5017,mach1267,,Machiguenga
Mawayana,Mawayana,,1.190187,-58.585983,mapi1252,,Mapidian-Mawayana
Mehinaku,Mehinaku,,-12.5364,-53.521,mehi1240,,Mehináku
Nomatsiguenga,Nomatsiguenga,,-11.5349,-74.4371,noma1263,,Nomatsiguenga
Palikur,Palikur,,3.63993,-51.6246,pali1279,,Palikúr
Paraujano,Paraujano,,10.8427,-71.8399,para1316,,Paraujano
Paresi,Paresi,,-14.5929,-57.4059,pare1272,,Parecís
Pase,Pase,,-2.596949,-68.468643,pass1250,,Passe
Piapoco,Piapoco,,4.37718,-68.5953,piap1246,,Piapoco
Piro,Piro,,-11.1086,-73.3087,yine1238,,Yine
Resigaro,Resigaro,,-1.169535,-71.60524,resi1247,,Resígaro
Saraveka,Saraveka,,-16.07,-57.8,sara1331,,Saraveca
Taino,Taino,,18.2836,-66.8042,tain1254,,Taino
Tariana,Tariana,,0.440205,-68.9042,tari1256,,Tariana
Terena,Terena,,-20.6614,-56.0329,tere1279,,Terena-Kinikinao-Chane
Trinitario,Trinitario,,-15.3331,-65.4096,trin1274,,Trinitario-Javeriano-Loretano
Wainuma,Wainuma,,-1.676121,-71.149307,uain1239,,Uainuma-Mariate
Wapixana,Wapixana,,2.58744,-59.8021,wapi1253,,Wapishana
Waraicu,Waraicu,,-3.104315,-67.2052,arai1239,,Araicu
Warekena,Warekena,,2.904099,-67.092099,ware1255,,Warekena do San Miguel
Waura,Waura,,-13.296,-53.6971,waur1244,,Waurá
Yavitero,Yavitero,,2.924844,-67.438886,yavi1244,,Yavitero-Pareni
Yawalapiti,Yawalapiti,,-12.5104,-53.4236,yawa1261,,Yawalapití
Yukuna,Yukuna,,-0.76075,-71.0033,yucu1253,,Yucuna
Yumana,Yumana,,-1.930054,-68.295609,juma1250,,Jumana
